r_version	r_release_date	ubuntu_version	r_freeze_date	rstudio_version
4.0.0	2020-04-24	20.04	2020-06-04	1.3.959
4.0.1	2020-06-06	20.04	2020-06-18	1.3.959
4.0.2	2020-06-22	20.04	2020-10-09	1.3.1093
4.0.3	2020-10-10	20.04	2021-02-11	1.4.1106
4.0.4	2021-02-15	20.04	2021-03-30	1.4.1106
4.0.5	2021-03-31	20.04	2021-05-17	1.4.1106
4.1.0	2021-05-18	20.04	2021-08-09	1.4.1717
4.1.1	2021-08-10	20.04	2021-10-29	2021.09.0+351
4.1.2	2021-11-01	20.04	2022-03-09	2022.02.0+443
4.1.3	2022-03-10	20.04	2022-04-21	2022.02.2+485
4.2.0	2022-04-22	20.04	2022-06-22	2022.02.3+492
4.2.1	2022-06-23	20.04	2022-10-28	2022.07.2+576
4.2.2	2022-10-31	22.04	2023-03-14	2023.03.0+386
4.2.3	2023-03-15	22.04	2023-04-20	2023.03.0+386
4.3.0	2023-04-21	22.04	2023-06-15	2023.06.0+421
4.3.1	2023-06-16	22.04	2023-10-30	2023.09.1+494
4.3.2	2023-10-31	22.04	2024-02-28	2023.12.1+402
4.3.3	2024-02-29	22.04	2024-04-23	2023.12.1+402
4.4.0	2024-04-24	22.04	2024-06-13	2024.04.2+764
4.4.1	2024-06-14	22.04	2024-10-30	2024.09.1+394
4.4.2	2024-10-31	24.04	2025-02-27	2024.12.1+563
4.4.3	2025-02-28	24.04		2024.12.1+563
